운행일자,정산사업자,노선아이디,노선명,노선번호,교통수단구분,교통수단 상세구분명,기점 정류장 아이디,종점 정류장 아이디,기점 정류장 명,종점 정류장 명,노선길이,경유정류장수
2025-06-13,마이비,43015256,기점-종점,3005,버스,981충북공영,4391461,4391481,기점,종점,661,3
2025-06-13,마이비,43015257,기점-종점,3006,버스,981충북공영,4391461,4391481,기점,종점,661,3
2025-06-13,마이비,43015258,기점-종점,5001,버스,981충북공영,4391461,4391481,기점,종점,661,3
2025-06-13,마이비,43015259,기점-종점,5002,버스,981충북공영,4391461,4391481,기점,종점,661,3
2025-06-13,마이비,43015260,기점-종점,5003,버스,981충북공영,4391461,4391481,기점,종점,661,3
2025-06-13,마이비,43015261,기점-종점,5004,버스,981충북공영,4391461,4391481,기점,종점,661,3
2025-06-13,마이비,43015262,기점-종점,5005,버스,981충북공영,4391461,4391481,기점,종점,661,3
2025-06-13,마이비,43015263,기점-종점,5006,버스,981충북공영,4391461,4391481,기점,종점,661,3
2025-06-13,마이비,43015264,기점-종점,5007,버스,981충북공영,4391461,4391481,기점,종점,661,3
2025-06-13,마이비,43015265,기점-종점,6001,버스,981충북공영,4391461,4391481,기점,종점,661,3
2025-06-13,마이비,43015266,기점-종점,6002,버스,981충북공영,4391461,4391481,기점,종점,661,3
2025-06-13,마이비,43015267,기점-종점,6003,버스,981충북공영,4391461,4391481,기점,종점,661,3
2025-06-13,마이비,43015268,기점-종점,6004,버스,981충북공영,4391461,4391481,기점,종점,661,3
2025-06-13,마이비,43015269,기점-종점,6005,버스,981충북공영,4391461,4391481,기점,종점,661,3
2025-06-13,마이비,43015270,기점-종점,6006,버스,981충북공영,4391461,4391481,기점,종점,661,3
2025-06-13,마이비,43015271,기점-종점,6007,버스,981충북공영,4391461,4391481,기점,종점,661,3
2025-06-13,마이비,43015272,기점-종점,7001,버스,981충북공영,4391461,4391481,기점,종점,661,3
2025-06-13,마이비,43015273,기점-종점,7002,버스,981충북공영,4391461,4391481,기점,종점,661,3
2025-06-13,마이비,43015274,기점-종점,7003,버스,981충북공영,4391461,4391481,기점,종점,661,3
2025-06-13,마이비,43015275,기점-종점,7004,버스,981충북공영,4391461,4391481,기점,종점,661,3
2025-06-13,마이비,43015276,기점-종점,7005,버스,981충북공영,4391461,4391481,기점,종점,661,3
2025-06-13,마이비,43015277,석판종점-석판종점,109,버스,685청주좌석,4304401,4304391,석판종점,석판종점,62700,54
2025-06-13,마이비,43015278,우진교통종점-우진교통종점,503,버스,684청주시내,4300431,4304411,우진교통종점,우진교통종점,65576,129
2025-06-13,마이비,43015279,동부종점-동부종점,509,버스,685청주좌석,4378311,4378311,동부종점,동부종점,57095,38
2025-06-13,마이비,43015280,양청고등학교종점-양청고등학교종점,702,버스,684청주시내,4388031,4372771,양청고등학교종점,양청고등학교종점,48416,88
2025-06-13,마이비,43015281,오창종점-오창종점,731,버스,684청주시내,4328081,4388591,오창종점,오창종점,49802,97
2025-06-13,마이비,43015282,북부공영차고지-북부공영차고지,813,버스,684청주시내,4303921,4303911,북부공영차고지,북부공영차고지,40823,86
2025-06-13,마이비,43015283,옥산산업단지제3-옥산산업단지제3,618,버스,684청주시내,4304441,4304451,옥산산업단지제3승강장,옥산산업단지제3승강장,55900,124
2025-06-13,마이비,43015284,남부종점-남부종점,844,버스,684청주시내,4376091,4376091,남부종점,남부종점,27800,71
2025-06-13,마이비,43015285,봉명종점-봉명종점,853,버스,684청주시내,4300711,4301441,봉명종점,봉명종점,42354,91
2025-06-13,마이비,43015286,북부공영차고지-북부공영차고지,723,버스,684청주시내,4303921,4303911,북부공영차고지,북부공영차고지,46234,55
2025-06-13,마이비,43015287,예비군훈련장-예비군훈련장,852,버스,684청주시내,4377371,4377381,예비군훈련장,예비군훈련장,38552,80
2025-06-13,마이비,43015288,상당산성종점-상당산성종점,862,버스,684청주시내,4389261,4376211,상당산성종점,상당산성종점,22952,34
2025-06-13,마이비,43015289,명암약수터-명암약수터,863,버스,684청주시내,4376661,4376161,명암약수터,명암약수터,15851,38
2025-06-13,마이비,43015290,이정골종점-이정골종점,873,버스,684청주시내,4389281,4376861,이정골종점,이정골종점,22485,57
2025-06-13,마이비,43015291,동부종점-동부종점,815,버스,684청주시내,4378311,4378311,동부종점,동부종점,35188,95
2025-06-13,마이비,43015292,동부종점-동부종점,814,버스,684청주시내,4378311,4378311,동부종점,동부종점,29278,75
2025-06-13,마이비,43015293,오송역-오송역,521,버스,684청주시내,4301001,4301001,오송역,오송역,22279,48
2025-06-13,마이비,43015294,동부종점-동부종점,854,버스,684청주시내,4378311,4378311,동부종점,동부종점,31868,71
2025-06-13,마이비,43015296,석판종점-석판종점,114,버스,684청주시내,4304401,4304391,석판종점,석판종점,65630,137
2025-06-13,마이비,43015297,비하종점-우진교통종점(하,834,버스,684청주시내,4373931,4302861,비하종점,우진교통종점(하차),15558,39
2025-06-13,마이비,43015298,청주장례식장-예비군훈련장,923,버스,684청주시내,4303971,4377381,청주장례식장,예비군훈련장,26190,71
2025-06-13,마이비,43015299,비하종점-비하종점,0B7,버스,684청주시내,4373931,4366381,비하종점,비하종점,83430,77
2025-06-13,마이비,43016001,남부종점-남부종점,3,버스,686기타(환승단절),4376091,4376091,남부종점,남부종점,670,4
2025-06-13,마이비,43016002,남부종점-남부종점,4,버스,981충북공영,4376091,4376091,남부종점,남부종점,670,4
2025-06-13,마이비,43017001,장락로즈웰앞-동중앞,01월 02일,버스,985제천시내,4314340,4395650,장락로즈웰앞,동중앞,10682,32
2025-06-13,마이비,43017002,장락로즈웰앞-동중앞,01월 03일,버스,985제천시내,4314340,4395650,장락로즈웰앞,동중앞,8125,26
2025-06-13,마이비,43017003,장락로즈웰-동중앞,01월 04일,버스,985제천시내,4314330,4395650,장락로즈웰,동중앞,9235,25
2025-06-13,마이비,43017004,제천현대APT앞-동중앞,01월 05일,버스,985제천시내,4316810,4395650,제천현대APT앞,동중앞,7258,22
2025-06-13,마이비,43017005,장락로즈웰앞-동중앞,01월 06일,버스,985제천시내,4314340,4395650,장락로즈웰앞,동중앞,4362,13
2025-06-13,마이비,43017006,장락로즈웰-산업고등학교,02월 01일,버스,985제천시내,4314330,4397830,장락로즈웰,산업고등학교,12595,32
2025-06-13,마이비,43017007,장락로즈웰앞-산업고등학교,02월 02일,버스,985제천시내,4314340,4397830,장락로즈웰앞,산업고등학교,9389,28
2025-06-13,마이비,43017008,제천현대APT앞-산업고등학교,02월 03일,버스,985제천시내,4316810,4397830,제천현대APT앞,산업고등학교,5881,16
2025-06-13,마이비,43017009,강저주공3단지-산업고등학교,02월 04일,버스,985제천시내,4392360,4397830,강저주공3단지,산업고등학교,4860,12
2025-06-13,마이비,43017010,천남코아루-제천소방서앞,03월 01일,버스,985제천시내,4318450,4316140,천남코아루,제천소방서앞,9835,23
2025-06-13,마이비,43017011,극동APT-세명대동문한방병,03월 02일,버스,985제천시내,4324680,4398940,극동APT,세명대동문한방병원,9393,24
2025-06-13,마이비,43017012,장락로즈웰앞-세명대동문한방병,03월 03일,버스,985제천시내,4314340,4398940,장락로즈웰앞,세명대동문한방병원,7545,23
2025-06-13,마이비,43017013,제천역-장락로즈웰,04월 01일,버스,985제천시내,4330430,4314310,제천역,장락로즈웰,6277,18
2025-06-13,마이비,43017014,천남코아루-장락주공2단지,04월 02일,버스,985제천시내,4318450,4314460,천남코아루,장락주공2단지,6872,22
2025-06-13,마이비,43017015,극동APT-장락주공2단지,04월 03일,버스,985제천시내,4324680,4314460,극동APT,장락주공2단지,8421,19
2025-06-13,마이비,43017016,극동APT-제천여고앞,05월 02일,버스,985제천시내,4324680,4316210,극동APT,제천여고앞,4125,9
2025-06-13,마이비,43017017,천남코아루-내토중학교입구,06월 01일,버스,985제천시내,4318450,4394150,천남코아루,내토중학교입구,6281,19
2025-06-13,마이비,43017018,강저주공3단지-증계,07월 01일,버스,985제천시내,4392360,4317470,강저주공3단지,증계,9590,33
2025-06-13,마이비,43017019,제천역-제천역,21,버스,985제천시내,4330430,4330430,제천역,제천역,9877,32
2025-06-13,마이비,43017020,제천역-금용APT,01월 21일,버스,985제천시내,4330430,4393920,제천역,금용APT,4490,16
